window_time,motion_percentage_th,session_id,accuracy,TP,TN,FP,FN,Accuracy
4,4,379,,46,11,43,6,0.5377358490566038
4,4,380,,34,31,91,5,0.40372670807453415
4,4,381,,17,36,17,5,0.7066666666666667
4,4,382,,65,83,73,15,0.6271186440677966
4,4,384,,69,63,85,5,0.5945945945945946
4,4,385,,79,66,24,5,0.8333333333333334
4,4,386,,30,32,216,0,0.22302158273381295
4,4,387,,16,39,195,0,0.22
4,4,388,,53,54,147,0,0.421259842519685
4,4,389,,47,31,121,14,0.36619718309859156
4,4,390,,146,29,32,2,0.8373205741626795
4,4,391,,158,17,63,3,0.7261410788381742
4,4,392,,69,26,165,8,0.35447761194029853
4,4,408,,44,20,40,7,0.5765765765765766
4,4,428,,103,27,144,2,0.47101449275362317
4,4,429,,78,53,71,7,0.6267942583732058
4,4,430,,47,47,134,4,0.4051724137931034
4,4,432,,55,52,50,16,0.6184971098265896
4,4,433,,48,97,68,8,0.6561085972850679
4,4,434,,39,33,74,0,0.4931506849315068
4,4,435,,41,69,43,10,0.6748466257668712
4,4,436,,62,88,91,2,0.6172839506172839
4,6,379,,44,15,39,8,0.5566037735849056
4,6,380,,32,34,88,7,0.40993788819875776
4,6,381,,16,38,15,6,0.72
4,6,382,,48,111,45,32,0.673728813559322
4,6,384,,66,82,66,8,0.6666666666666666
4,6,385,,77,73,17,7,0.8620689655172413
4,6,386,,28,53,195,2,0.29136690647482016
4,6,387,,16,58,176,0,0.296
4,6,388,,53,71,130,0,0.4881889763779528
4,6,389,,47,46,106,14,0.43661971830985913
4,6,390,,146,31,30,2,0.84688995215311
4,6,391,,158,24,56,3,0.7551867219917012
4,6,392,,69,48,143,8,0.43656716417910446
4,6,408,,38,25,35,13,0.5675675675675675
4,6,428,,102,41,130,3,0.5181159420289855
4,6,429,,75,61,63,10,0.6507177033492823
4,6,430,,47,57,124,4,0.4482758620689655
4,6,432,,52,57,45,19,0.630057803468208
4,6,433,,45,115,50,11,0.7239819004524887
4,6,434,,37,40,67,2,0.5273972602739726
4,6,435,,39,74,38,12,0.6932515337423313
4,6,436,,55,118,61,9,0.7119341563786008
4,8,379,,41,19,35,11,0.5660377358490566
4,8,380,,32,44,78,7,0.4720496894409938
4,8,381,,16,39,14,6,0.7333333333333333
4,8,382,,42,124,32,38,0.7033898305084746
4,8,384,,64,96,52,10,0.7207207207207207
4,8,385,,77,78,12,7,0.8908045977011494
4,8,386,,24,86,162,6,0.39568345323741005
4,8,387,,16,83,151,0,0.396
4,8,388,,51,83,118,2,0.5275590551181102
4,8,389,,47,64,88,14,0.5211267605633803
4,8,390,,146,33,28,2,0.8564593301435407
4,8,391,,158,31,49,3,0.7842323651452282
4,8,392,,69,80,111,8,0.5559701492537313
4,8,408,,38,28,32,13,0.5945945945945946
4,8,428,,102,57,114,3,0.5760869565217391
